ID,Name,Genre,Description
1, Oscar et la dame rose (2009) ,drama," Listening in to a conversation between his doctor and parents, 10-year-old Oscar learns what nobody has the courage to tell him. He only has a few weeks to live. Furious, he refuses to speak to anyone except straight-talking Rose, the lady in pink he meets on the hospital stairs. As Christmas approaches, Rose uses her fantastical experiences as a professional wrestler, her imagination, wit and charm to allow Oscar to live life and love to the full, in the company of his friends Pop Corn, Einstein, Bacon and childhood sweetheart Peggy Blue."
2, The Secret Sin (1915) , drama ," To help their unemployed father make ends meet, Edith and her twin sister Grace work as seamstresses . An invalid, Grace falls prey to the temptations of Chinatown opium and becomes an addict, a condition worsened by a misguided physician who prescribes morphine to ease her pain. When their father strikes oil, the family enjoys a new prosperity and the sisters meet the eligible Jack Herron, a fellow oil prospector. To Grace's shock, Jack falls in love with Edith and in her jealousy, Grace tells Jack that Edith, not she, has a drug problem. Hinting that her sister will soon need more morphine, Grace arranges for a dinner in Chinatown with the couple. While her sister and Jack dance, Grace slips away to an opium den. Edith follows her, but ends up in the wrong den and is arrested in an ensuing drug raid. After he bails her out of jail, Edith takes an angry Jack to search for Grace and stumbles across her half-conscious body lying in the street. The truth about the sisters is revealed, and after sending Grace to a sanitarium in the country, Jack and Edith are married."
3, The Unrecovered (2007) , drama ," The film's title refers not only to the un-recovered bodies at ground zero, but also to the state of the nation at large. Set in the hallucinatory period of time between September 11 and Halloween of 2001, The Unrecovered examines the effect of terror on the average mind, the way a state of heightened anxiety and/or alertness can cause the average person to make the sort of imaginative connections that are normally made only by artists and conspiracy theorists-both of whom figure prominently in this film. The Unrecovered explores the way in which irony, empathy, and paranoia relate to one another in the wake of 9/11."
4, In the Gloaming (1997) , drama ," Danny, dying of Aids, returns home for his last months. Always close to his mother, they share moments of openness that tend to shut out Danny's father and his sister."
5, The Glass Menagerie (1973) , drama ," Amanda Wingfield dominates her children with her faded gentility and exaggerated tales of her Southern belle past. Her son plans escape; her daughter withdraws into a dream world. When a ""gentleman caller"" appears, things move to crisis point. Amanda is faced with the dilemma of a dependent life, for both her remaining years, but more importantly, for her dependent daughter, Laura. Amanda struggles to use the only means she has at her disposable to secure a future for her frightened and fragile ""spinster"" daughter."
6, Night Call (2016) , drama ," Simon's world is turned upside down when his little girl Katie is abducted during a family day out. After weeks of searching and appeals Simon decides to punish himself by offering a young prostitute with mounting debts, life changing money to end his life."
7, O Signo das Tetas (2016) , drama ," The Road of Milk narrates in existential drama tones the story of a man searching for his lost time, traveling across the roads of Brazil's countryside, making their way back to their homeland. In this journey, he will find his way to sign his past that will remake your life and show you the path of salvation. He is on the threshold between reason and madness, between salvation and death."
8, Heroin (2013/I) , drama ," Jos wakes up in a homeless shelter in Groningen (North of the Netherlands). It's a place to stay for the night. At 10am the street life starts over again. Come rain or shine. It doesn't matter if you're ill or don't feel like leaving. At 10pm people are welcome again. For Jos, this is a day like many other, or isn't it? No, today is different. Jos has a plan. He wants to make amends. Can he convince his ex girlfriend? And his friends? That it's all going to be different now? Jos wants to change. No more drinking. No coke, heroin or other junk. Never again. It's now or never. Well, maybe this week? Jos really wants to change. Starting today, well......at least tomorrow."
9, La dama del alba (1966) , drama ," The tempest over the house of Narcose arose when it was three years since Martin's wife, Angelica, mysteriously disappeared in the waters of the river. Despite the bad weather and ignoring the advice of Angelica's mother, Marti�n leaves the house to go and raise cattle. At that moment a strange pilgrim arrives in search of shelter. She can only stop for a few minutes because she has to meet on the bridge with Adela, a girl whom Death seeks."
10, A Thousand Acres (1997) , drama ," A THOUSAND ACRES is a drama about an American family who meets with tragedy on their land. It is the story of a father, his daughters, and their husbands, and their passion to subdue the history of their land and its stories."
11," Young, Wild and Wonderful (1980) ", adult ," As the bus empties the students for their field trip to the Museum of Natural History, little does the tour guide suspect that the students are there for more than just another tour. First, during the lecture films, the coeds drift into dreams of the most erotic fantasies one can imagine. After the films, they release the emotion of the fantasies in the most erotic and uncommon ways. One slips off to the curator's office for a little ""acquisition. "" Another finds the anthropologist to see what bones can be identified. Even the head teacher isn't immune. Soon the tour is over, but as the bus departs, everyone admits it was quite an education."
12, Casino Fortune (1989) , adult ," A Casino Roulette gaming system to break the bank -- sounds like... what, Spam? No, it's the ""basis"" of this movie, but you won't take that seriously, even if you don't fall of the bed laughing because of the cute picture of the ""professor"" on the floor using a toy Roulette wheel and klicking the keys of an Atari ST computer (probably the same the all-electronic MIDI-music soundtrack was produced on? back in '89 STs were superior to PCs!)."
13, Blue Jeans (1982) , adult ," Fashion designer Gene and his buxom wife Debbie are a loving couple. Alas, Gene's secretary Elley goes for his privates in a locker room, and Debbie runs away after seeing them. After she faces Gene, Debbie gets together with her old acquaintance Tony. Meanwhile, a party goer hippie woman knocks by mistake on the couple's door, but decides to seduce their new hired Mexican chef Ric. Debbie's sister Cindy comes to visit and reminds Debbie how close they were. As important client Mssr. DuBois arrives for dinner, Cindy drugs the food. Already high herself, Cindy seduces chef Ric in the kitchen. With everybody else also high, Cindy goes for DuBois' privates. The only one who avoided the food was Debbie, who uses the chaos to run off with Tony who sneaked in earlier."
14, Nice n' Tight (1985) , adult ," A busy motel becomes a fantasy ground for its occupants. At first, porn producer Paul gives an impromptu casting couch to a chambermaid. Newlywed Vicky wants her husband Harold to spend their honeymoon just in bed. Shy cowboy Beau hires his first escort Sally Thompson. Young runaway lovers Reggie and Catherine unite in a store room. Friends Nick and Ritchie hire a hooker. Nick wins her company via a coin toss, but she gets him to invite Ritchie along. Buxom aunt Mrs. Robinson gets her younger nephew in his sleep, but it's later revealed it was a hired act. Porn fans Alex and Jeff invite porn stars Karen and Charmel to their room. After Karen and Charmel enjoy each other, Alex gets Charmel and Jeff gets Karen."
15, Hot for Transsexuals 3 (2017) , adult ," Kinky director and scene player Aiden Starr's friends from the TS world show us the alluring, mysterious reality of gender-bent dating - in each scene of Hot For Transsexuals 3, a feminine, horny T-girl hooks up with a bold male adventurer for forbidden fun. Tattooed Chelsea Marie's huge bulge expands her bikini panties. Chad Diamond deep-throats her big boner. She fellates him ass-to-mouth and they trade hard-slamming butt fucks. Exotically pretty Tori Mayes and Chad share passionate mouth kissing and 69. Tori's little dicklet twirls as she rides the man's meat. Gorgeous Alexa Scout has pretty tits, long legs, a big butt and a gaping bunghole. She tickles Lance Hart's taint and laps his balls; skin-slamming sodomy makes her grip the bed. With a butt plug lodged in his sphincter, she strokes him to orgasm and they French kiss. Slim natural redhead Mandy Mitchell totally swallows tattooed, pierced Mike Panic's erection. She deeply rims his rectum, massages his prostate and feeds him the anal flavor; Mandy sits on his face so he can taste hers. She spits his jism into his mouth."
16, Loose Times at Ridley High (1988) , adult ," The succulent girls of Ridley High are about to graduate and this lust-filled take-off of a famous book fulfills every youthful fantasy ever dreamed of. Mad crushes on male teachers run rampant as our sweet young things explore their budding sexuality as well as each other's bodies. So young, so innocent, so tender, these cute little lasses - bedecked in their mid-thigh uniforms - cross AND uncross their virginal legs for their instructors. With shoulder straps that outline their pert, young breasts, teachers struggle to maintain their raging passions. Student - teacher conferences take on a whole new meaning!! HOT!!"
17, Dangerous Profession (1999) , adult ," An intelligence agent plans to arrest several double-agents, but the secret sellers get wind of the plan. They need to know who's on to their scheme, so they grab a brace of perky entry-level operatives and attempt to force them to divulge the information they need."
18, Anal Mansion Secrets (2014) , adult ," Welcome to Anal Mansion, where the key to uncovering the secrets of the wealthy Haversham family lies in the hands and the loins of a most determined and well hung investigator. A convenient ""accident"" leaves a household of suspects who each seem to hold a dirty secret."
19, Aaron's Russian Boy Orgy (2001) , adult ," This orgy begins through translation by identifying sex roles, performance, and hygiene from Lawrence to the seven Russian boys. Then Lawrence instigates his orgy for video. As bonus footage, Lawrence films Maxim & Timo and the large crowd at the first McDonald's in Russia. They have lunch."
20, Rubberella: The Facility (2004) , adult ," One of a number of ""Rubberella"" bondage and BDSM movies, which as the title implies, features lots of heavy rubber and leather bondage. Industrial-strength arm-binders, latex, steel cuffs and ballet boots are all used on the various slaves at ""The Facility"" which is a special interactive ""branching"" DVD so the viewer can choose their particular fetish as the film proceeds. Therefore, no one viewing of the film is the same, you can enjoy a different bondage scenario every time!"
21, KAFFIR BOY (????) , biography ," KAFFIR BOY is the true coming of age story of Johannes Mathabane, who endured a childhood of squalor and destitution in the Alexandra Township for 18 years (1960-78), only to free himself in the most improbable way -- by being the first Black South African to receive an American tennis scholarship with the help of tennis legend Stan Smith. The story chronicles Johannes' journey from accepting his lot in life to steadfastly rejecting it, through the gift of education and athletics."
22, The Pride of San Quentin (????) , biography , The human rights story of an imprisoned athlete and a ground-breaking warden who introduced an ideology of rehabilitation that would change the US prison system.
23, Dead End (2013) , biography ," A captivating one hour about murder on the road. From hitchhiking horrors to hookers on the road, tragic truckers to mysterious serial killers, this new show utilizes forensic evidence and witness testimony to tell the tales of road wrong gone wrong."
24, Doyen of Farrukhabad (2015) , biography ," Hindustan has seen many great maestros, who have contributed immensely to the art of the Tabla. Ustad Amir Hussain Khan (1899 - 1969), a Tabla Maestro of 20th century, was one such personality from 'Farrukhabad Gharana.' Documentary talks about the life story of this great artist, who gave the art of the tabla, a new vision, new breadth, and new dimensions. He possessed great qualities of 'Bajayak' (a performer), 'Banayak' (a composer) and 'Batayak' (a teacher) all in one. A 'Nayak' in a true sense, who not only taught Tabla to his disciples but also gave them a vision to see and understand the grandeur of the Tabla, which is beyond all boundaries of castes and creeds, Religion and communities. The documentary begins with the 'Historical Perspective', which takes us on the journey of the Tabla. At the beginning of the 18th century, after the death of Aurangzeb in 1707, the Mughal Empire started declining, that was the time when Ustad Sidhar Khan Dhadi, founded the first 'Gharana' of the Art of Tabla playing, 'The Delhi Gharana'. The documentary depicts the social, economical and political changes occurred in Hindustan then on wards and its reflections on the Art of the Tabla. Documentary talks about different Gharanas and their founders, of which 'Farrukhabad Gharana' is a prominent Gharana founded by Ustad Haji Vilayat Ali Khan. The documentary unfolds Khan Sahab's journey through life and his painstaking effort to enrich the art of Tabla, through the series of interviews of his relatives, disciples, and performances of eminent artists who are carrying forward his legacy and his Music."
25, The Life of Rayful Edmond (2005) , biography ," Never done before him... Never done after him. The true king of cocaine. At his peak he sold 2,000 kilos a week, reaped gross profits of $70 million a month, and ran an operation with over 150 soldiers to support him. In his life champagne flowed like water, trips to Vegas, New York, and Los Angeles were the norm, and $150,000 shopping sprees were nothing. At the height of Washington, D.C.'s brutal crack epidemic in 1987, there was a 22 year old man responsible for distributing 90% of Columbian Cocaine onto the city's streets. This man is Rayful Edmond III. In the media's eyes he was guilty until proven innocent, but in the streets eyes he was a hero who made it to the top. This is his story-a story of; Power, Money, Murder, Betrayal and the rise and fall of the Edmond's Empire."
26, Outliving Castro (????) , biography ," Mary McCarthy fell in love with the people of Cuba. Hers is a story that bears witness to the complicated history of a country and the unchanging spirit of a dedicated soul who failed in the literal sense, but succeeded metaphorically in her goal of outliving Castro. A 'riches to rags' story of an interloper who becomes the denizen."
27, Baczynski (2013) , biography ," Krzysztof Kamil Baczynski is one of Poland's best known poets, even though he died at the age of twenty-three on the fourth day of the tragic Warsaw Uprising in 1944. Baczynski became a myth-like personification of a whole generation which died fighting for their freedom. His poetry became Poland's most poignant and subjective testimony of wartime. ""Baczynski"" caused controversy upon its release in Poland due to its unique form and use of poetry as a documentary device. The film examines Baczynski's motivation for becoming a soldier, the inspiration for his metaphysical poetry, and the prophecy of his own death. Combining recollections of the few remaining war veterans who fought with him, dramatized scenes, and interpretations of his poetry by today's 'slam' poets, ""Baczynski"" is a film which resists conventional film classification to provide an experience that is as personal and varied as reading one of his poems."
28, The Erotic Adventures of Anais Nin (2015) , biography ," A one-hour celebration of Anais Nin's ground-breaking diaries, this special programme brings the influential author's voice to the fore in a way not seen before on television. Shivani Kapur and Lucy Cohu star as Anais in dramatisations of different periods of her life, while Alix Wilton Regan plays the young polar-necked reporter, Leah, who helps uncover Nin's story. The drama is punctuated with commentary from high- profile fans, such as writer and broadcaster Rowan Pelling. Fascinating and racy, this documentary brings her work to life for a whole new generation."
29, Dhartiputra Ch. Ranbir Singh (2012) , biography ," Ranbir Singh Hooda (26 November 1914 - 1 February 2009) is well known in Haryana's Jat heartland for his role in India's freedom struggle as a leading member of the Indian National Congress. Born on November 26, 1914, in the house of Matu Ram in Sanghi village Rohtak district, Hooda studied at Vaish High School, Rohtak, Government College, Rohtak and Ramjas College, Delhi from where he graduated in early thirties. He was imprisoned four times for participating in nationalist movements. Taking a greater interest in education, he founded Subash High School at Kharkhande and primary schools in villages of Munger Bilbilan and Polangi. He also started a weekly called the Hindi Haryana and headed the Haryana Vidya Parcharani Sabha at Rohtak. He was a minister in the Punjab Government for a number of years. At the time of his death, he was the president of All India Freedom Fighter Organization. His another notable contribution included the role he played in development of Bakhra Nangal Power Project as the then Irrigation Minister of joint Punjab. His son, Bhupinder Singh Hooda, is former Chief Minister of Haryana and his grandson Deepender Singh Hooda is the M.P. from Rohtak. Hooda, a member of the first Constituent Assembly that framed the Indian Constitution died aged 94, on February 1, 2009, after a long illness. He was also a member of the Provisional Parliament between 1950-1952."
30, Called to Hope (2009) , biography ," Learn about the awesome calling to be the mediators of Christ's infinite sacrifice. Follow the lives of young men going into the priestly formation process as it explores the four major aspects of formation: intellectual, spiritual, pastoral, and human. Commentary from author and TV HOST, Father Benedict Groschel of the Franciscan Friars of the Renewal."
31, The End of Ageing (2010) , documentary ," All over the world, human beings are living longer than ever before. This is due to many factors, including improved living conditions, lifestyle choices and medical advancements. While there is not a single cause, a growing community of scientists are pushing the limits of life expectancy. In the not-too-distant future, they may even be able to halt ageing altogether. As the world's population continues to live longer, our current economic systems will no longer be sustainable. Health care systems, and the economies that fund them, need to make major changes. Because a growing number of people are healthy enough continue to work and play, we will need to reevaluate the nature of employment and recreation."
32, Hot Chocolate (2004) , documentary ," Hot Chocolate is a documentary that chronicles the 2003 Chocolate skateboard team tour. The video showcases the talents of new additions Marc Johnson, Justin Eldridge and Chris Roberts as well as day-oners like Chico Brenes and Daniel Castillo. Interviews and voice-overs give insight into the team's personality and life on the road. Special features include: Girl High Fives on the I-5 tour, a slide-show, and an emotional opening with a tribute to the late Keenan Milton."
